0,0,0
0.33898,1.6949,0.0016949
0.67797,3.3898,0.0033898
1.0169,5.0847,0.0050847
1.3559,6.7797,0.0067797
1.6949,8.4746,0.0084746
2.0339,10.169,0.010169
2.3729,11.864,0.011864
2.7119,13.559,0.013559
3.0508,15.254,0.015254
3.3898,16.949,0.016949
3.7288,18.644,0.018644
4.0678,20.339,0.020339
4.4068,22.034,0.022034
4.7458,23.729,0.023729
5.0847,25.424,0.025424
5.4237,27.119,0.027119
5.7627,28.814,0.028814
6.1017,30.508,0.030508
6.4407,32.203,0.032203
6.7797,33.898,0.033898
7.1186,35.593,0.035593
7.4576,37.288,0.037288
7.7966,38.983,0.038983
8.1356,40.678,0.040678
8.4746,42.373,0.042373
8.8136,44.068,0.044068
9.1525,45.763,0.045763
9.4915,47.458,0.047458
9.8305,49.153,0.049153
10.169,50.847,0.050847
10.508,52.542,0.052542
10.847,54.237,0.054237
11.186,55.932,0.055932
11.525,57.627,0.057627
11.864,59.322,0.059322
12.203,61.017,0.061017
12.542,62.712,0.062712
12.881,64.407,0.064407
13.22,66.102,0.066102
13.559,67.797,0.067797
13.898,69.492,0.069492
14.237,71.186,0.071186
14.576,72.881,0.072881
14.915,74.576,0.074576
15.254,76.271,0.076271
15.593,77.966,0.077966
15.932,79.661,0.079661
16.271,81.356,0.081356
16.61,83.051,0.083051
16.949,84.746,0.084746
17.288,86.441,0.086441
17.627,88.136,0.088136
17.966,89.831,0.089831
18.305,91.525,0.091525
18.644,93.22,0.09322
18.983,94.915,0.094915
19.322,96.61,0.09661
19.661,98.305,0.098305
20,100,0.1
